text,label
"Stock market reaches all time high as economy continues to grow",1
"Aliens landed in New York City yesterday and stole the Statue of Liberty",0
"Scientists discover new species of deep sea fish in the Pacific Ocean",1
"Government secretly replaces all water with mind control chemicals",0
"Local community comes together to build new public library",1
"The moon is actually made of blue cheese claims local man",0
"New medical breakthrough offers hope for alzheimer patients",1
"Celebrity caught eating a sandwich is actually a lizard person",0
"Tech giant announces new revolutionary smartphone with 5G capabilities",1
"Drinking ten gallons of coffee a day makes you immortal",0
"Olympic athlete breaks world record in 100m sprint",1
"World leaders are actually controlled by cats from outer space",0
"Electric vehicles become more affordable as battery prices drop",1
"Ghost of Elvis seen working at a local gas station in small town",0
"City council approves new park development project for downtown",1
"Magic crystal found in forest can cure all diseases in seconds",0
"University researchers develop more efficient solar panel technology",1
"Secret tunnel found connecting London to Sydney according to blog",0
"Global effort to reduce plastic waste shows promising results",1
"Eating chocolate for every meal is the secret to weight loss",0
